"fecha_mes","Año","Mes","marca","matriculaciones"
2021-01-01,2021,1,"CAMARA",20
2021-01-01,2021,1,"CAMERO",5
2021-01-01,2021,1,"CAMINO",4
2021-01-01,2021,1,"CAMPOSUR",4
2021-01-01,2021,1,"CAMS MACCHINE",9
2021-01-01,2021,1,"CANIGO",1
2021-01-01,2021,1,"CANTISANO",1
2021-01-01,2021,1,"CAPRON",6
2021-01-01,2021,1,"CAPRON GMBH",4
2021-01-01,2021,1,"CARAVELAIR",5
2021-01-01,2021,1,"CARBODIES",2
2021-01-01,2021,1,"CARDELLE",1
2021-01-01,2021,1,"CARRO",6
2021-01-01,2021,1,"CARROCERA CASTROSUA SA",11
2021-01-01,2021,1,"CARROCERIAS AITOR",1
2021-01-01,2021,1,"CARROCERIAS ALAMOS",1
2021-01-01,2021,1,"CARROCERIAS CARRAÑACA",2
2021-01-01,2021,1,"CARROCERIAS CITY",2
2021-01-01,2021,1,"CARROCERIAS CONRADO",1
2021-01-01,2021,1,"CARROCERIAS CREVILLENTE",4
2021-01-01,2021,1,"CARROCERIAS EL GALLO",9
2021-01-01,2021,1,"CARROCERIAS FRIGOASTUR",1
2021-01-01,2021,1,"CARROCERIAS FRIGORIFICA",7
2021-01-01,2021,1,"CARROCERIAS GRANADA",2
2021-01-01,2021,1,"CARROCERIAS JANKAR",1
2021-01-01,2021,1,"CARROCERIAS JEREZ",1
2021-01-01,2021,1,"CARROCERIAS MINDA",9
2021-01-01,2021,1,"CARROCERIAS OKA",1
2021-01-01,2021,1,"CARROCERIAS OURENSE",2
2021-01-01,2021,1,"CARROCERIAS SALAMANCA",1
2021-01-01,2021,1,"CARROCERIAS SANCA",3
2021-01-01,2021,1,"CARROCERIAS SANCA SA",17
2021-01-01,2021,1,"CARROCERIAS SEVILLA",9
2021-01-01,2021,1,"CARROCERIAS VALENCIANAS",1
2021-01-01,2021,1,"CARROCERIAS VASALLO",1
2021-01-01,2021,1,"CARROCERIAS VIC",1
2021-01-01,2021,1,"CARROCERIAS VILLFER",1
2021-01-01,2021,1,"CARROSSERIES TOLOSA",4
2021-01-01,2021,1,"CARROZADOS TECAI",5
2021-01-01,2021,1,"CARRUXO",4
2021-01-01,2021,1,"CARSUR",2
2021-01-01,2021,1,"CARSUR CARROZADOS SL",3
2021-01-01,2021,1,"CARTEMET",1
2021-01-01,2021,1,"CARTHAGO",2
2021-01-01,2021,1,"CASE",18
2021-01-01,2021,1,"CASE IH",56
2021-01-01,2021,1,"CASTROSUA",1
2021-01-01,2021,1,"CAT",1
2021-01-01,2021,1,"CATERHAM",1
2021-01-01,2021,1,"CATERPILLAR",14
2021-01-01,2021,1,"CAYBA",1
2021-01-01,2021,1,"CAYVOL",19
2021-01-01,2021,1,"CC",4
2021-01-01,2021,1,"CELIS",2
2021-01-01,2021,1,"CERRAJERIA AURELIO",2
2021-01-01,2021,1,"CERVERA",1
2021-01-01,2021,1,"CESAB",1
2021-01-01,2021,1,"CF MOTO",87
2021-01-01,2021,1,"CHALLENGER",11
2021-01-01,2021,1,"CHAOYA",5
2021-01-01,2021,1,"CHAPISTERIA V.I.",5
2021-01-01,2021,1,"CHATENET",3
2021-01-01,2021,1,"CHAUSSON",4
2021-01-01,2021,1,"CHEREAU",28
2021-01-01,2021,1,"CHEROKEE",1
2021-01-01,2021,1,"CHEVAL LIBERTE",4
2021-01-01,2021,1,"CHEVROLET",33
2021-01-01,2021,1,"CHIHUI",3
2021-01-01,2021,1,"CHRYSLER",19
2021-01-01,2021,1,"CHRYSLER LLC JEEP",9
2021-01-01,2021,1,"CI",2
2021-01-01,2021,1,"CIDEGA INOX",3
2021-01-01,2021,1,"CIMAR",1
2021-01-01,2021,1,"CITROEN",3571
2021-01-01,2021,1,"CITROËN",7
2021-01-01,2021,1,"CIXTANOR",2
2021-01-01,2021,1,"CKA, EUROCKA",2
2021-01-01,2021,1,"CLAAS",28
2021-01-01,2021,1,"CLASS",4
2021-01-01,2021,1,"CLAYTON",1
2021-01-01,2021,1,"CLERIS",12
2021-01-01,2021,1,"CLEYFER",1
2021-01-01,2021,1,"CLEYSER",1
2021-01-01,2021,1,"CMAR",1
2021-01-01,2021,1,"CMAR KRAMER",1
2021-01-01,2021,1,"COBO HERMANOS SL",6
2021-01-01,2021,1,"COCAR",2
2021-01-01,2021,1,"COFISA",9
2021-01-01,2021,1,"COINPOL",6
2021-01-01,2021,1,"COLIBRI",3
2021-01-01,2021,1,"COMBILIFT",1
2021-01-01,2021,1,"COMPAIR",1
2021-01-01,2021,1,"COMPAR",3
2021-01-01,2021,1,"COMPOSITES REFORZADOS",7
2021-01-01,2021,1,"CONCORDE",1
2021-01-01,2021,1,"CONEJO",1
2021-01-01,2021,1,"CONSA",1
2021-01-01,2021,1,"CORMA",1
2021-01-01,2021,1,"CORNELLA",2
2021-01-01,2021,1,"CORVUS",6
2021-01-01,2021,1,"COVALCA",13
2021-01-01,2021,1,"COVASA",2
2021-01-01,2021,1,"CRASTIR",3
2021-01-01,2021,1,"CRETAS",1
2021-01-01,2021,1,"CRUZ",2
2021-01-01,2021,1,"CUBY",1
2021-01-01,2021,1,"CUMMINS",1
2021-01-01,2021,1,"CUPRA",664
2021-01-01,2021,1,"D-TEC",17
2021-01-01,2021,1,"DACIA",2824
2021-01-01,2021,1,"DAELIM",47
2021-01-01,2021,1,"DAF",261
2021-01-01,2021,1,"DAIMLER",2
2021-01-01,2021,1,"DAIMLER AG",7
2021-01-01,2021,1,"DAIMLER BENZ",1
2021-01-01,2021,1,"DAIMLER BENZ AG",2
2021-01-01,2021,1,"DAIMLER CHRYSLER",4
2021-01-01,2021,1,"DAIMLERCHRYSLER CO JEEP",1
2021-01-01,2021,1,"DATSUN",2
2021-01-01,2021,1,"DAVID",3
2021-01-01,2021,1,"DAYANG",3
2021-01-01,2021,1,"DE PABLOS",3
2021-01-01,2021,1,"DEL VALLE",3
2021-01-01,2021,1,"DELFIN",8
2021-01-01,2021,1,"DELGADO",2
2021-01-01,2021,1,"DERBI",21
2021-01-01,2021,1,"DERCKS",1
2021-01-01,2021,1,"DERCONSA",1
2021-01-01,2021,1,"DESCANSABACAS",6
2021-01-01,2021,1,"DETHLEFFS",9
2021-01-01,2021,1,"DEUTZ-FAHR",69
2021-01-01,2021,1,"DFSK",21
2021-01-01,2021,1,"DIAZ VINAGRE",3
2021-01-01,2021,1,"DIECI",5
2021-01-01,2021,1,"DIGAL",3
2021-01-01,2021,1,"DIVISEGUR CATALUNYA",1
2021-01-01,2021,1,"DIVOLCA",1
2021-01-01,2021,1,"DNEPR",4
2021-01-01,2021,1,"DOBLAS",5
2021-01-01,2021,1,"DODGE",10
2021-01-01,2021,1,"DOGAN YILDIZ",1
2021-01-01,2021,1,"DONATE",1
2021-01-01,2021,1,"DONOSO",2
2021-01-01,2021,1,"DOOHAN",1
2021-01-01,2021,1,"DOOSAN",2
2021-01-01,2021,1,"DR",5
2021-01-01,2021,1,"DREAMER",4
2021-01-01,2021,1,"DS",123
2021-01-01,2021,1,"DUCATI",167
2021-01-01,2021,1,"DULEVO",5
2021-01-01,2021,1,"E-BROH",17
2021-01-01,2021,1,"E-ZI",10
2021-01-01,2021,1,"EBRO",1
2021-01-01,2021,1,"ECO-TRAILER",1
2021-01-01,2021,1,"ECOLOG",1
2021-01-01,2021,1,"ECOOTER",1
2021-01-01,2021,1,"EFUN",19
2021-01-01,2021,1,"EGUEN",1
2021-01-01,2021,1,"EL CAMPANARIO",1
2021-01-01,2021,1,"ELECTRIC MOTION",3
2021-01-01,2021,1,"ELNAGH",8
2021-01-01,2021,1,"EMG",5
2021-01-01,2021,1,"EMJO",1
2021-01-01,2021,1,"ENCABO",4
2021-01-01,2021,1,"ENERGICA",1
2021-01-01,2021,1,"ENERGREEN",1
2021-01-01,2021,1,"ENOROSSI",1
2021-01-01,2021,1,"EQUI-TREK LTD",1
2021-01-01,2021,1,"EQUIPDRAULIC",9
2021-01-01,2021,1,"EQUIPFRED",8
2021-01-01,2021,1,"ERIDER",1
2021-01-01,2021,1,"ERIDER,VESPINO",9
2021-01-01,2021,1,"ERKE",78
2021-01-01,2021,1,"ERSKINE",2
2021-01-01,2021,1,"ESCALANTE",2
2021-01-01,2021,1,"ESMEBUR",1
2021-01-01,2021,1,"ESMI",4
2021-01-01,2021,1,"ESQUERDA",1
2021-01-01,2021,1,"ESTESO",2
2021-01-01,2021,1,"ESVA",4
2021-01-01,2021,1,"ETRUSCO",6
2021-01-01,2021,1,"ETXEBERRIA",2
2021-01-01,2021,1,"EURA-MOBIL",1
2021-01-01,2021,1,"EUROCOMACH",1
2021-01-01,2021,1,"EUROTRAC",3
2021-01-01,2021,1,"EZNEN",2
2021-01-01,2021,1,"F. X. MEILLER",5
2021-01-01,2021,1,"F.K.",5
2021-01-01,2021,1,"FAGA",1
2021-01-01,2021,1,"FANTIC MOTOR",2
2021-01-01,2021,1,"FARCINOX",6
2021-01-01,2021,1,"FARESIN HANDLERS",3
2021-01-01,2021,1,"FARID INDUSTRIE",7
2021-01-01,2021,1,"FARMTRAC",4
2021-01-01,2021,1,"FAURO",2
2021-01-01,2021,1,"FAYMONVILLE",4
2021-01-01,2021,1,"FD MOTORS, FASPIDER",1
2021-01-01,2021,1,"FEBA",4
2021-01-01,2021,1,"FEDE",13
2021-01-01,2021,1,"FEGAMAR",3
2021-01-01,2021,1,"FELDBINDER",2
2021-01-01,2021,1,"FENDT",78
2021-01-01,2021,1,"FENDT CARAVAN",2
2021-01-01,2021,1,"FERCA",1
2021-01-01,2021,1,"FERQUI",5
2021-01-01,2021,1,"FERRARI",34
2021-01-01,2021,1,"FERRODEZA",3
2021-01-01,2021,1,"FFB FELDBINDER",1
2021-01-01,2021,1,"FGOMEZ",10
2021-01-01,2021,1,"FIAT",1848
2021-01-01,2021,1,"FIAT BURSTNER",1
2021-01-01,2021,1,"FIAT/HYMER",2
2021-01-01,2021,1,"FITOLIVA",3
2021-01-01,2021,1,"FKMOTORS",6
2021-01-01,2021,1,"FLIEGL",5
2021-01-01,2021,1,"FLOMEYCA",1
2021-01-01,2021,1,"FM5",8
2021-01-01,2021,1,"FMC, JINYING, ARENA",2
2021-01-01,2021,1,"FMS",1
2021-01-01,2021,1,"FOIMA",6
2021-01-01,2021,1,"FORD",3096
2021-01-01,2021,1,"FORD CNG TECHNIK",14
2021-01-01,2021,1,"FORNIER",4
2021-01-01,2021,1,"FRANCAL",4
2021-01-01,2021,1,"FRANCO LECIÑENA",17
2021-01-01,2021,1,"FRANGU",2
2021-01-01,2021,1,"FRANKIA",1
2021-01-01,2021,1,"FROILAN",3
2021-01-01,2021,1,"FRUEHAUF",5
2021-01-01,2021,1,"FRUMECAR",7
2021-01-01,2021,1,"FULU",1
2021-01-01,2021,1,"FUMITRAC",2
2021-01-01,2021,1,"FURCAR",8
2021-01-01,2021,1,"FUSO",11
2021-01-01,2021,1,"GAC EIBAR",2
2021-01-01,2021,1,"GAC MOBYLETTE",2
2021-01-01,2021,1,"GAHER",4
2021-01-01,2021,1,"GALLART & BOSCH",1
2021-01-01,2021,1,"GALUCHO",3
2021-01-01,2021,1,"GARCIA BLAZQUEZ MORENO",1
2021-01-01,2021,1,"GARCIA HOYOS",3
2021-01-01,2021,1,"GARIA",1
2021-01-01,2021,1,"GAS-GAS",122
2021-01-01,2021,1,"GASCON",6
2021-01-01,2021,1,"GASPARDO",1
2021-01-01,2021,1,"GAVARA",1
2021-01-01,2021,1,"GAYSA",16
2021-01-01,2021,1,"GAZA",94
2021-01-01,2021,1,"GBM",1
2021-01-01,2021,1,"GEESINKNORBA",6
2021-01-01,2021,1,"GEHL",2
2021-01-01,2021,1,"GENERAL",4
2021-01-01,2021,1,"GENTRAIL",1
2021-01-01,2021,1,"GICALLA",1
2021-01-01,2021,1,"GIL",5
2021-01-01,2021,1,"GILI",9
2021-01-01,2021,1,"GIMENO",1
2021-01-01,2021,1,"GOES",25
2021-01-01,2021,1,"GOLDENLION",1
2021-01-01,2021,1,"GOLDHOFER",2
2021-01-01,2021,1,"GOLDONI",3
2021-01-01,2021,1,"GOMEZ",1
2021-01-01,2021,1,"GOMEZ REDONDO",11
2021-01-01,2021,1,"GONPER",3
2021-01-01,2021,1,"GORBEA",1
2021-01-01,2021,1,"GOUPIL",2
2021-01-01,2021,1,"GOWEIL",1
2021-01-01,2021,1,"GRANALU",42
2021-01-01,2021,1,"GREENMECH",1
2021-01-01,2021,1,"GREGOIRE",1
2021-01-01,2021,1,"GRILLO",2
2021-01-01,2021,1,"GRIME",1
2021-01-01,2021,1,"GRIMME",2
2021-01-01,2021,1,"GROVE",1
2021-01-01,2021,1,"GRUAS Y CARR ISIDORO",2
2021-01-01,2021,1,"GRUAU",1
2021-01-01,2021,1,"GRUAU IBERICA",1
2021-01-01,2021,1,"GRUIVOL",3
2021-01-01,2021,1,"GSE",2
2021-01-01,2021,1,"GUERRERO",1
2021-01-01,2021,1,"GUILLEN",27
2021-01-01,2021,1,"GUZZI",3
2021-01-01,2021,1,"GUZZI-HISPANIA",5
2021-01-01,2021,1,"H & W",1
2021-01-01,2021,1,"HAKO",6
2021-01-01,2021,1,"HALCON",1
2021-01-01,2021,1,"HANWAY",30
2021-01-01,2021,1,"HARLEY DAVIDSON",59
2021-01-01,2021,1,"HAULOTTE",1
2021-01-01,2021,1,"HCC",2
2021-01-01,2021,1,"HEINKEL",2
2021-01-01,2021,1,"HELI",2
2021-01-01,2021,1,"HERALD MOTOR COMPANY",1
2021-01-01,2021,1,"HERBA",1
2021-01-01,2021,1,"HERCOV",4
2021-01-01,2021,1,"HERCULANO",5
2021-01-01,2021,1,"HERMANOS GARCIA",9
2021-01-01,2021,1,"HERME",1
2021-01-01,2021,1,"HERPA",7
2021-01-01,2021,1,"HERRERO",2
2021-01-01,2021,1,"HERREROS",5
2021-01-01,2021,1,"HF",3
2021-01-01,2021,1,"HIDRAULICOS JOMAR",1
2021-01-01,2021,1,"HIDROMAYORAL",8
2021-01-01,2021,1,"HIDROMEK",19
2021-01-01,2021,1,"HIGER",1
2021-01-01,2021,1,"HITACHI",2
2021-01-01,2021,1,"HITRAVI",1
2021-01-01,2021,1,"HMC",1
2021-01-01,2021,1,"HOBBY",12
2021-01-01,2021,1,"HONDA",1707
2021-01-01,2021,1,"HORSCH",2
2021-01-01,2021,1,"HORWIN",1
2021-01-01,2021,1,"HOUSEHAM",1
2021-01-01,2021,1,"HPL",1
2021-01-01,2021,1,"HUMBAUR",2
2021-01-01,2021,1,"HUSQVARNA",126
2021-01-01,2021,1,"HYMER",16
2021-01-01,2021,1,"HYOSUNG",15
2021-01-01,2021,1,"HYSTER",4
2021-01-01,2021,1,"HYUNDAI",2216
2021-01-01,2021,1,"HYUNDAI MOTOR",1
2021-01-01,2021,1,"HYUNDAI MOTOR (ROK)",1
2021-01-01,2021,1,"I.F.A.",1
2021-01-01,2021,1,"IBERICA",9
2021-01-01,2021,1,"IBERICA DE ISOTERMIZ",1
2021-01-01,2021,1,"IBERTRAILER",28
2021-01-01,2021,1,"IFOR WILLIAMS",14
2021-01-01,2021,1,"IGLUVAN",5
2021-01-01,2021,1,"ILEMO-HARDI",1
2021-01-01,2021,1,"ILUSION",1
2021-01-01,2021,1,"IMESA",1
2021-01-01,2021,1,"INCASE",1
2021-01-01,2021,1,"INDCAR",2
2021-01-01,2021,1,"INDE",14
2021-01-01,2021,1,"INDIAN",1
2021-01-01,2021,1,"INDIAN MOTORCYCLE",26
2021-01-01,2021,1,"INDOX",3
2021-01-01,2021,1,"INDUSAGRI",1
2021-01-01,2021,1,"INDUSAUTO",10
2021-01-01,2021,1,"INFINITI",10
2021-01-01,2021,1,"INOXTANK",2
2021-01-01,2021,1,"INTA-EIMAR",1
2021-01-01,2021,1,"INTEGRALIA",5
2021-01-01,2021,1,"IRIZAR",5
2021-01-01,2021,1,"IRIZAR E-MOBILITY",3
2021-01-01,2021,1,"ISEKI",1
2021-01-01,2021,1,"ISO",1
2021-01-01,2021,1,"ISUZU",30
2021-01-01,2021,1,"ITINEO",7
2021-01-01,2021,1,"ITS SYSTEM",4
2021-01-01,2021,1,"IVECO",435
2021-01-01,2021,1,"IVECO FIAT",1
2021-01-01,2021,1,"J. GARCIA",1
2021-01-01,2021,1,"J.B.",1
2021-01-01,2021,1,"J.C.B.",67
2021-01-01,2021,1,"JAGUAR",70
2021-01-01,2021,1,"JAGUAR LAND ROVER",8
2021-01-01,2021,1,"JAGUAR LAND ROVER LIMIT",7
2021-01-01,2021,1,"JAGUAR LAND ROVER LTD",5
2021-01-01,2021,1,"JASPE",2
2021-01-01,2021,1,"JCADI",2
2021-01-01,2021,1,"JEANJE",9
2021-01-01,2021,1,"JEANTIL",1
2021-01-01,2021,1,"JEBLA",2
2021-01-01,2021,1,"JEEP",735
2021-01-01,2021,1,"JEEP-VIASA",2
2021-01-01,2021,1,"JENZ",1
2021-01-01,2021,1,"JEVIC",8
2021-01-01,2021,1,"JHON DEERE",2
2021-01-01,2021,1,"JIA JUE",1
2021-01-01,2021,1,"JIANGNAN",1
2021-01-01,2021,1,"JIAYUAN",4
2021-01-01,2021,1,"JIMECA",10
2021-01-01,2021,1,"JIMINI",7
2021-01-01,2021,1,"JINMA",2
2021-01-01,2021,1,"JINYI MOTOR",2
2021-01-01,2021,1,"JJ",1
2021-01-01,2021,1,"JOHN DEERE",227
2021-01-01,2021,1,"JOHNSTON",3
2021-01-01,2021,1,"JOSKIN",5
2021-01-01,2021,1,"JSMD",1
2021-01-01,2021,1,"JUAN SUAREZ",5
2021-01-01,2021,1,"JUANSA",3
2021-01-01,2021,1,"JUCAL",1
2021-01-01,2021,1,"JUNGHEINRICH",10
2021-01-01,2021,1,"JUSCAFRESA",9
2021-01-01,2021,1,"JYMPA",1
2021-01-01,2021,1,"KAESER",1
2021-01-01,2021,1,"KAESSBOHRER",1
2021-01-01,2021,1,"KAISER",1
2021-01-01,2021,1,"KAKERBECK FZ-BAU",1
2021-01-01,2021,1,"KANDI MX",1
2021-01-01,2021,1,"KARMANN-MOBIL",1
2021-01-01,2021,1,"KASSBOHRER",14
2021-01-01,2021,1,"KATO IMER",1
2021-01-01,2021,1,"KAWASAKI",409
2021-01-01,2021,1,"KAYO",1
2021-01-01,2021,1,"KEEWAY",128
2021-01-01,2021,1,"KENROD",1
2021-01-01,2021,1,"KIA",1831
2021-01-01,2021,1,"KIA MOTOR (ROK)",2
2021-01-01,2021,1,"KIA MOTORS",2
2021-01-01,2021,1,"KING LONG",2
2021-01-01,2021,1,"KIOTI",7
2021-01-01,2021,1,"KNAPEN",8
2021-01-01,2021,1,"KNAUS",15
2021-01-01,2021,1,"KNAUS TABBERT",2
2021-01-01,2021,1,"KOGEL",46
2021-01-01,2021,1,"KOMATSU",10
2021-01-01,2021,1,"KOTAN BAU",1
2021-01-01,2021,1,"KRAKER",1
2021-01-01,2021,1,"KRONE",126
2021-01-01,2021,1,"KSR MOTO",5
2021-01-01,2021,1,"KSR MOTO AUSTRIA",14
2021-01-01,2021,1,"KTM",448
2021-01-01,2021,1,"KUBOTA",50
2021-01-01,2021,1,"KUHN",8
2021-01-01,2021,1,"KUKJE",3
2021-01-01,2021,1,"KVERNELAND GROUP",1
2021-01-01,2021,1,"KYMCO",424
2021-01-01,2021,1,"LA PALOMA",3
2021-01-01,2021,1,"LA RUEDA",1
2021-01-01,2021,1,"LA SIDERO",2
2021-01-01,2021,1,"LADA",2
2021-01-01,2021,1,"LAIKA",2
2021-01-01,2021,1,"LAIKA CARAVANS SPA",5
2021-01-01,2021,1,"LAMBERET",23
2021-01-01,2021,1,"LAMBORGHINI",17
2021-01-01,2021,1,"LAMBRETTA",12
2021-01-01,2021,1,"LANCIA",4
2021-01-01,2021,1,"LAND  ROVER",11
2021-01-01,2021,1,"LAND ROVER",214
2021-01-01,2021,1,"LAND ROVER SANTANA",5
2021-01-01,2021,1,"LANDINI",33
2021-01-01,2021,1,"LECAPITAINE INDUSTRIE",1
2021-01-01,2021,1,"LECITRAILER",274
2021-01-01,2021,1,"LECIÑENA",5
2021-01-01,2021,1,"LEGRAS",1
2021-01-01,2021,1,"LEMKEN",1
2021-01-01,2021,1,"LEONART",4
2021-01-01,2021,1,"LEVIS",2
2021-01-01,2021,1,"LEXUS",173
2021-01-01,2021,1,"LIDER",7
2021-01-01,2021,1,"LIDERKIT",2
2021-01-01,2021,1,"LIEBHERR",6
2021-01-01,2021,1,"LIFAN",2
2021-01-01,2021,1,"LIGIER",48
2021-01-01,2021,1,"LINCOLN",4
2021-01-01,2021,1,"LINDE",14
2021-01-01,2021,1,"LINHAI",33
2021-01-01,2021,1,"LISARDE",1
2021-01-01,2021,1,"LITTLE",2
2021-01-01,2021,1,"LLORENTE",7
2021-01-01,2021,1,"LOHR",7
2021-01-01,2021,1,"LONCIN",2
2021-01-01,2021,1,"LORENTANO",1
2021-01-01,2021,1,"LOS ANTONIOS",11
2021-01-01,2021,1,"LOS BELLONES",4
2021-01-01,2021,1,"LOTUS",1
2021-01-01,2021,1,"LUBE",1
2021-01-01,2021,1,"LUCAS G",1
2021-01-01,2021,1,"LUNAR",1
2021-01-01,2021,1,"LUQI",1
2021-01-01,2021,1,"LVNENG",16
2021-01-01,2021,1,"M.G.",4
2021-01-01,2021,1,"MAC EV",2
2021-01-01,2021,1,"MACBOR",179
2021-01-01,2021,1,"MACIAS",3
2021-01-01,2021,1,"MACK",2
