cod_ine,municipio,fecha,matriculaciones,ratio_x1000
17004,Albons,2026-01-01,2,2.347417840375587
46012,Alborache,2026-01-01,4,2.5396825396825395
02005,Alborea,2026-01-01,4,5.813953488372093
04006,Albox,2026-01-01,27,2.0975761342448727
30004,Albudeite,2026-01-01,1,0.7142857142857143
06005,"Albuera, La",2026-01-01,1,0.49726504226752855
46014,Albuixech,2026-01-01,18,4.011589034989972
06006,Alburquerque,2026-01-01,1,0.2028397565922921
18006,Albuñol,2026-01-01,6,0.808298531591001
18007,Albuñuelas,2026-01-01,2,2.5284450063211126
02006,Alcadozo,2026-01-01,3,4.702194357366771
03006,Alcalalí,2026-01-01,4,2.8469750889679717
28005,Alcalá de Henares,2026-01-01,330,1.6292353948921003
22016,Alcampell,2026-01-01,0,0
26007,Alcanadre,2026-01-01,2,2.9282576866764276
43004,Alcanar,2026-01-01,14,1.3933121019108279
30005,Alcantarilla,2026-01-01,74,1.6898449453083968
14003,Alcaracejos,2026-01-01,4,2.6560424966799467
02008,Alcaraz,2026-01-01,2,1.56128024980484
23003,Alcaudete,2026-01-01,10,0.9821253191907287
45006,Alcaudete de la Jara,2026-01-01,1,0.5737234652897303
49003,Alcañices,2026-01-01,2,1.8018018018018018
44013,Alcañiz,2026-01-01,25,1.5200340487626922
45005,Alcañizo,2026-01-01,0,0
28006,Alcobendas,2026-01-01,8825,71.61870445212705
19009,Alcocer,2026-01-01,1,3.076923076923077
03007,Alcocer de Planes,2026-01-01,1,3.802281368821293
04007,Alcolea,2026-01-01,11,13.237063778580024
13007,Alcolea de Calatrava,2026-01-01,1,0.7342143906020557
22017,Alcolea de Cinca,2026-01-01,1,0.8787346221441125
45007,Alcolea de Tajo,2026-01-01,1,1.1933174224343677
19011,Alcolea del Pinar,2026-01-01,0,0
03008,Alcoleja,2026-01-01,1,5.376344086021506
25012,Alcoletge,2026-01-01,8,2.1745039412883935
37012,Alconada,2026-01-01,1,7.6923076923076925
06007,Alconchel,2026-01-01,0,0
16012,Alconchel de la Estrella,2026-01-01,1,12.987012987012989
12005,"Alcora, l'",2026-01-01,17,1.5968438850272402
28007,Alcorcón,2026-01-01,226,1.2782371638971528
44014,Alcorisa,2026-01-01,2,0.6169031462060457
19013,Alcoroches,2026-01-01,1,8.547008547008549
43005,Alcover,2026-01-01,9,1.6800448011946987
22018,Alcubierre,2026-01-01,1,2.506265664160401
49004,Alcubilla de Nogales,2026-01-01,0,0
13008,Alcubillas,2026-01-01,0,0
46018,Alcublas,2026-01-01,2,2.7894002789400276
46016,Alcàntera de Xúquer,2026-01-01,2,1.3596193065941535
16010,Alcázar del Rey,2026-01-01,0,0
46020,"Alcúdia de Crespins, l'",2026-01-01,9,1.6336903249228536
46019,"Alcúdia, l'",2026-01-01,32,2.5449339907746142
46021,Aldaia,2026-01-01,77,2.2226070892506637
47006,Aldea de San Miguel,2026-01-01,0,0
35020,"Aldea de San Nicolás, La",2026-01-01,4,0.5387205387205387
10012,Aldea del Cano,2026-01-01,1,1.6420361247947455
28008,Aldea del Fresno,2026-01-01,4,1.1318619128466327
37015,Aldea del Obispo,2026-01-01,0,0
10013,"Aldea del Obispo, La",2026-01-01,1,3.4246575342465753
13009,Aldea del Rey,2026-01-01,1,0.6373486297004461
43904,"Aldea, L'",2026-01-01,26,5.502645502645503
10011,Aldeacentenera,2026-01-01,0,0
37013,Aldeacipreste,2026-01-01,0,0
37016,Aldealengua,2026-01-01,3,4.10958904109589
42011,Aldealpozo,2026-01-01,0,0
45009,Aldeanueva de Barbarroya,2026-01-01,2,4.3763676148796495
26008,Aldeanueva de Ebro,2026-01-01,1,0.3610108303249097
37017,Aldeanueva de Figueroa,2026-01-01,0,0
37018,Aldeanueva de la Sierra,2026-01-01,1,11.363636363636363
10014,Aldeanueva de la Vera,2026-01-01,2,1.0178117048346056
10015,Aldeanueva del Camino,2026-01-01,0,0
37019,Aldearrodrigo,2026-01-01,1,6.993006993006993
37022,Aldeaseca de la Frontera,2026-01-01,1,4.11522633744856
37023,Aldeatejada,2026-01-01,4,1.5003750937734435
10016,Aldehuela de Jerte,2026-01-01,0,0
05010,"Aldehuela, La",2026-01-01,0,0
18010,Aldeire,2026-01-01,0,0
43006,Aldover,2026-01-01,1,1.098901098901099
30006,Aledo,2026-01-01,3,2.6737967914438503
20005,Alegia,2026-01-01,2,1.1074197120708749
08003,Alella,2026-01-01,25,2.438786459857575
22019,Alerre,2026-01-01,0,0
26009,Alesanco,2026-01-01,1,2.070393374741201
18011,Alfacar,2026-01-01,15,2.5684931506849313
46022,Alfafar,2026-01-01,47,2.110841641965328
03010,Alfafara,2026-01-01,0,0
43008,Alfara de Carles,2026-01-01,0,0
46024,Alfara de la Baronia,2026-01-01,5,8.025682182985554
46025,Alfara del Patriarca,2026-01-01,1,0.2658160552897395
29003,Alfarnate,2026-01-01,2,1.9305019305019306
26011,Alfaro,2026-01-01,21,2.1065302437556426
46026,Alfarp,2026-01-01,5,2.8328611898017
46027,Alfarrasí,2026-01-01,2,1.7006802721088434
46023,Alfauir,2026-01-01,3,5.836575875486381
12007,Alfondeguilla,2026-01-01,3,3.40522133938706
43009,Alforja,2026-01-01,4,1.9694731659281144
03011,"Alfàs del Pi, l'",2026-01-01,65,3.0884728689537204
41007,"Algaba, La",2026-01-01,26,1.5419285968449767
24002,Algadefe,2026-01-01,0,0
